,ASGN,AVA,B,BCPC,CACI,CBU,CHE,COLB,FCFS,FFIN,FIVE,GBCI,GDOT,HAE,HI,IART,JBT,KFY,KS,NEOG,NSP,PDCE,PSB,QLYS,SIGI,SKYW,STMP,TREX,VAC,WWE
2013-05-28,27.27,22.879988,28.974649,46.278717,63.860001,25.475782,65.991035,19.592194,52.903114,24.87615,37.720001,16.746044,18.299999,41.799999,21.627352,18.355,20.863445,17.056747,13.788252,28.372093,12.088181,52.669998,70.827118,14.18,22.156305,13.61938,36.619999,28.280001,42.804756,8.20929
2013-05-29,26.99,22.209269,28.483231,45.722321,63.599998,25.083193,65.923561,19.332275,53.019627,24.724714,36.790001,16.628645,18.290001,41.68,21.424732,18.59,20.748177,16.691994,13.718119,27.581896,12.052228,51.889999,69.680939,13.93,21.788719,13.381779,36.450001,27.83,42.245289,8.243928
2013-05-30,26.610001,22.578165,28.643887,46.005402,64.139999,25.364834,66.617706,19.592194,53.116707,24.885061,37.669998,16.63703,18.35,41.91,21.363064,18.66,21.065163,16.787987,13.713445,27.776945,12.128128,52.009998,67.887291,14.21,21.990885,13.286736,38.139999,27.815001,42.396999,8.373823
2013-05-31,26.040001,22.393713,28.558836,46.864399,64.139999,25.05759,67.504654,19.57427,52.242924,24.497553,38.169998,16.301609,17.969999,41.279999,21.019491,18.945,20.748177,16.797581,13.563824,27.24181,12.048231,51.189999,66.767372,14.0,21.77953,13.324755,38.119999,27.785,41.960796,8.434439
2013-06-03,25.719999,22.603319,28.672239,47.362232,64.720001,25.381903,68.324104,19.825224,52.806026,25.058769,37.779999,16.318377,18.110001,41.060001,21.248545,18.465,20.767391,17.027952,13.647985,27.566893,12.100165,51.48,67.406082,13.86,21.715199,13.733429,37.91,27.245001,42.40649,8.512377
2013-06-04,25.4,22.502707,28.454887,46.952255,64.650002,25.202677,67.957764,19.699745,52.194382,24.94742,37.330002,16.167435,17.77,40.610001,21.134016,18.1,20.652119,16.941565,13.582528,27.296824,11.976326,50.709999,66.426132,13.5,21.421125,13.41029,38.5,27.01,41.429764,8.495058
2013-06-05,25.02,22.301493,27.868967,46.142063,64.220001,24.895435,68.112022,19.475677,52.932243,24.58218,37.110001,15.873943,17.48,40.380001,20.816874,17.924999,20.19105,16.787987,13.535772,27.021755,11.820531,49.130001,65.069977,13.55,21.099489,12.583431,37.240002,26.129999,40.51944,8.347845
2013-06-06,25.790001,22.553013,28.124125,46.532516,64.449997,25.05759,68.449425,19.619078,54.213799,25.023136,36.34,15.924252,17.379999,40.200001,20.878544,18.120001,20.373556,16.855173,13.676039,27.006752,11.972333,50.41,65.577431,13.98,21.044355,12.535913,37.599998,26.565001,40.453053,8.347845
2013-06-07,26.190001,22.553013,28.313124,46.171345,65.040001,25.262421,69.201416,19.789375,55.301193,25.0944,36.240002,16.242908,17.57,40.27,21.134016,18.084999,20.632908,16.970356,13.895792,27.521881,12.00429,52.16,65.568695,14.53,21.430319,13.030126,38.959999,25.615,41.306492,8.512377
2013-06-10,26.58,22.603319,28.265879,46.32753,64.720001,25.501387,69.538849,20.01343,55.039047,25.263655,37.130001,16.502857,19.34,40.220001,21.213305,18.42,20.728966,17.018356,16.383194,27.756939,12.427739,52.639999,65.181435,15.06,21.66925,13.125168,38.400002,25.885,42.491833,8.598973
2013-06-11,26.65,22.511091,27.850061,45.595425,64.019997,25.066124,68.892906,19.619078,54.70895,24.885061,36.299999,16.377081,19.049999,40.619999,21.028301,18.135,20.335131,16.749592,17.117262,27.636909,12.375804,50.84,63.97567,14.86,21.292477,13.068142,37.900002,25.08,41.25909,8.477738
2013-06-12,26.4,22.217649,27.566555,44.960938,62.849998,24.807707,69.413521,19.421906,54.864285,24.754681,35.400002,16.989229,19.030001,41.009998,20.988331,17.924999,20.690542,16.653606,16.864773,27.44186,12.251966,50.360001,62.41787,14.7,21.053543,13.239218,37.189999,24.93,40.784954,8.521575
2013-06-13,26.35,22.662004,27.963465,44.902367,64.300003,25.281462,70.213715,19.76248,55.854591,25.181795,36.799999,17.333035,19.540001,42.02,21.201504,18.014999,21.151611,17.018356,17.065828,27.691923,12.395779,52.09,64.758972,14.56,21.402748,13.57186,38.34,25.275,42.539249,8.714447
2013-06-14,26.24,22.544624,27.613806,44.189781,62.709999,24.730183,69.924469,19.502567,55.388557,24.426474,36.98,17.039543,18.809999,42.240002,20.988331,18.18,20.863445,16.576817,17.809238,27.28182,12.29591,51.77,64.468536,14.41,21.145439,13.495826,38.220001,25.745001,41.496151,8.688148
2013-06-17,26.48,22.444021,27.859512,44.785233,63.150002,24.885229,70.242622,19.663898,56.320606,24.633284,38.52,17.316263,19.209999,42.299999,20.57976,18.459999,21.132404,17.383101,18.903322,27.51688,12.431731,53.77,64.345329,14.9,21.3568,13.723925,38.360001,27.08,42.311665,8.714447
2013-06-18,27.049999,22.745842,28.152477,45.683273,62.599998,25.26424,71.360962,19.959663,56.252647,24.849092,39.889999,17.534288,19.389999,42.709999,20.997215,18.815001,21.199644,17.31591,18.426418,27.666916,12.603508,55.02,64.609375,14.85,21.623302,13.828471,38.450001,27.93,42.814251,8.819654
2013-06-19,26.639999,22.209269,27.679956,45.019505,62.209999,25.109188,71.062088,19.807295,56.301197,24.543369,39.48,17.408506,18.85,42.349998,20.988331,18.32,20.940287,17.056747,18.267447,27.261816,12.407763,54.610001,63.245174,14.97,21.200579,13.57186,38.580002,28.18,42.40649,8.749515
2013-06-20,25.75,21.597235,27.396452,43.731003,60.939999,25.117807,70.531845,19.699745,53.475941,24.300585,37.41,17.559443,18.639999,41.599998,20.739634,18.049999,20.450399,16.596018,18.244068,26.446611,12.200034,52.110001,60.111965,15.1,20.741093,13.077648,38.169998,28.0,41.334949,8.64431
2013-06-21,25.92,22.158962,27.868967,44.970695,61.41,25.522654,70.859604,20.201649,52.310883,24.395002,37.740002,17.961958,18.18,42.16,20.784044,18.225,20.748177,16.835981,18.370312,27.041759,12.279929,51.610001,59.6367,15.17,20.731901,12.935085,38.52,26.625,40.528931,8.626777
2013-06-24,25.440001,22.158962,27.453152,44.59,60.919998,25.427898,70.396873,20.085138,52.971088,24.453447,37.779999,18.087744,18.16,41.549999,20.322182,18.120001,20.114206,16.480831,18.164581,27.191797,12.02826,50.830002,58.087692,15.67,20.603249,12.830541,37.650002,22.879999,39.334106,8.582942
2013-06-25,25.709999,22.393713,27.717758,43.43816,61.110001,25.936111,70.792145,20.622885,53.592442,25.271713,38.200001,18.574106,18.49,41.490002,20.597525,18.145,20.19105,16.634411,18.374985,27.396849,12.080192,52.330002,59.047016,16.16,21.035162,13.087149,38.02,24.940001,40.225471,8.696912
2013-06-26,25.889999,22.376947,27.727211,43.281979,62.25,26.030863,71.765869,20.622885,47.961353,25.024437,35.779999,18.616034,19.129999,41.009998,20.517586,17.975,20.181442,16.711195,18.833191,27.341835,11.900427,52.040001,59.856739,15.4,20.906506,12.925111,39.02,24.165001,40.595303,8.574175
2013-06-27,26.879999,22.603319,28.350931,43.80909,62.330002,26.358191,70.531845,21.106871,47.47591,25.325665,36.41,18.808903,19.34,41.560001,20.872868,18.24,20.488827,17.23912,19.09502,27.746937,12.052228,53.139999,63.209972,15.77,21.108679,13.220596,39.470001,24.315001,41.221153,8.731981
2013-06-28,26.719999,22.65362,28.341476,43.68219,63.490002,26.57354,69.828064,21.339895,47.776882,25.024437,36.84,18.607649,19.950001,41.349998,21.059387,18.315001,20.181442,17.987816,18.78643,27.786947,12.104159,51.48,63.518005,16.120001,21.154631,12.906046,39.389999,23.745001,41.003059,9.038829
2013-07-01,27.26,22.511091,28.946304,44.082405,64.239998,26.806112,70.502922,21.841799,48.553593,25.469536,36.689999,19.328806,19.57,42.43,21.290321,18.35,20.392771,17.82464,19.370882,28.212053,12.591522,53.07,64.160507,15.77,21.733583,13.334978,39.369999,23.540001,41.761673,9.056363
2013-07-02,27.450001,22.569778,28.757298,43.43816,61.299999,27.124815,70.329399,22.146526,49.281746,26.341747,36.48,19.446203,19.25,42.290001,21.183743,18.375,20.604097,17.959015,19.992729,27.971992,12.66343,53.099998,64.248512,16.040001,21.76115,12.934642,39.619999,23.014999,42.150459,9.047596
2013-07-03,27.02,22.527857,28.899048,43.408875,61.349998,27.245407,70.43544,22.146526,48.640965,27.389299,36.849998,19.563606,18.93,42.32,21.13933,18.700001,20.805807,18.045401,20.016111,28.077019,12.651445,53.700001,63.394787,16.030001,21.862232,13.08715,40.02,23.290001,42.273731,9.179102
2013-07-05,27.870001,22.628468,29.409365,44.385014,62.560001,28.132627,71.312767,22.720137,49.456497,27.924318,36.630001,19.926519,19.33,42.830002,21.148207,18.915001,21.42057,18.563726,20.408859,28.912228,12.819223,56.689999,64.046066,16.370001,22.321718,13.344509,41.77,22.860001,43.297867,9.301839
